,time_(s),rew_action_rate,rew_balance,rew_forward_progress,rew_height,rew_motor_effort,rew_smoothness,rew_stability,rew_termination,rew_total,rew_success,x,y,z,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,global_linear_x,global_linear_y,global_linear_z,global_angular_x,global_angular_y,global_angular_z,front_left,front_right,rear_left,rear_right,position_FL_hip_joint,position_FL_thigh_joint,position_FL_calf_joint,position_FR_hip_joint,position_FR_thigh_joint,position_FR_calf_joint,position_RL_hip_joint,position_RL_thigh_joint,position_RL_calf_joint,position_RR_hip_joint,position_RR_thigh_joint,position_RR_calf_joint,torque_FL_hip_joint,torque_FL_thigh_joint,torque_FL_calf_joint,torque_FR_hip_joint,torque_FR_thigh_joint,torque_FR_calf_joint,torque_RL_hip_joint,torque_RL_thigh_joint,torque_RL_calf_joint,torque_RR_hip_joint,torque_RR_thigh_joint,torque_RR_calf_joint,out_of_limits,rollout
214,4.28,-0.01,42.33,1.42,1.92,-0.02,-20.8,120.97,0.0,145.81,215.0,8.61,12.45,0.9,0.01,0.15,-0.22,-1.06,-1.61,-1.07,0.56,1.94,-0.89,0.56,1.94,-0.89,86.8,0.0,43.3,30.4,31.2,35.2,-93.8,-4.7,59.6,-156.0,9.4,27.2,-48.0,-12.4,41.3,-87.3,-10.6,12.4,3.8,-2.9,0.3,-19.7,-1.7,-5.1,21.4,13.9,-5.5,-5.3,2,3
216,4.32,-0.01,42.73,1.42,1.94,-0.02,-20.91,122.14,0.0,147.29,217.0,8.62,12.44,0.88,-0.08,0.11,-0.5,-0.98,-0.32,-0.68,0.9,0.68,-0.51,0.9,0.68,-0.51,0.0,0.0,52.5,29.7,35.0,50.0,-97.4,-4.7,62.1,-156.0,10.1,35.9,-48.0,-11.7,48.3,-83.2,-2.5,-12.2,2.0,4.4,-3.3,-19.7,-6.3,-18.7,15.5,7.6,-8.4,-8.9,2,3
218,4.36,-0.01,43.12,1.42,1.96,-0.02,-20.99,123.3,0.0,148.78,219.0,8.63,12.44,0.86,-0.18,0.11,-0.32,0.41,1.06,0.06,-0.01,-1.14,-0.05,-0.01,-1.14,-0.05,69.2,54.5,49.7,106.4,37.8,39.6,-96.1,-1.4,66.2,-156.0,13.0,30.4,-48.0,-7.7,51.2,-89.0,-4.7,-1.7,1.1,8.9,-12.7,-19.7,-14.0,-20.0,18.7,9.5,-11.9,-4.6,2,3
220,4.4,-0.01,43.52,1.42,1.97,-0.02,-21.1,124.46,0.0,150.25,221.0,8.64,12.44,0.87,-0.29,0.11,0.27,0.24,-0.41,-0.49,-0.26,0.35,-0.53,-0.26,0.35,-0.53,0.0,39.5,55.6,52.2,33.9,27.3,-92.6,-0.7,64.9,-156.0,13.2,28.3,-48.0,-6.3,50.8,-89.0,-4.0,1.0,0.2,11.2,-8.3,-19.7,-17.6,-21.2,17.2,5.7,-5.9,-9.7,2,3
222,4.44,-0.01,43.92,1.42,1.99,-0.02,-21.13,125.62,0.0,151.79,223.0,8.65,12.44,0.88,-0.27,0.11,0.11,0.86,0.1,-0.43,-0.67,-0.34,-0.6,-0.67,-0.34,-0.6,0.0,0.0,85.8,26.0,30.6,22.9,-91.9,-2.6,61.6,-156.0,11.9,26.0,-48.0,-6.5,50.8,-94.5,-6.3,3.1,-1.7,16.5,-13.3,-18.5,-15.9,-20.0,22.0,-0.8,-4.1,-4.6,2,3
224,4.48,-0.01,44.32,1.42,2.0,-0.02,-21.21,126.78,0.0,153.27,225.0,8.66,12.44,0.89,-0.26,0.1,-0.01,-0.75,0.23,-0.99,0.99,0.04,-0.78,0.99,0.04,-0.78,0.0,82.5,54.1,23.6,29.4,22.3,-92.9,-3.0,60.8,-156.0,10.8,24.5,-48.0,-10.7,46.0,-96.7,-7.5,7.9,2.2,15.9,-1.6,-19.5,-3.4,-4.5,22.8,-3.4,-6.0,0.8,2,3
226,4.52,-0.01,44.72,1.42,2.02,-0.02,-21.34,127.94,0.0,154.72,227.0,8.67,12.44,0.88,-0.08,0.1,-0.2,0.79,-1.7,-1.25,-0.93,1.53,-1.36,-0.93,1.53,-1.36,144.6,39.5,0.0,84.8,33.0,33.7,-91.4,5.8,75.7,-156.0,13.3,30.3,-48.0,-16.9,41.3,-89.8,-15.6,18.1,3.0,-3.1,-0.6,-19.7,1.7,-0.4,22.1,11.4,-2.1,-2.0,2,3
228,4.56,-0.01,45.11,1.42,2.03,-0.02,-21.49,129.11,0.0,156.16,229.0,8.67,12.44,0.87,-0.07,0.05,-0.52,0.38,-2.04,-0.72,-0.7,1.92,-0.82,-0.7,1.92,-0.82,4.5,0.0,53.2,48.3,32.3,56.5,-90.0,-7.6,85.5,-156.0,11.4,42.3,-48.0,-22.6,52.1,-82.1,-6.1,-6.3,1.1,2.9,-8.8,-19.7,-8.9,-14.7,19.3,14.8,-9.5,-11.1,2,3
230,4.6,-0.01,45.51,1.42,2.05,-0.02,-21.72,130.29,0.0,157.51,231.0,8.68,12.44,0.85,-0.37,0.05,0.07,-1.38,1.22,0.05,1.58,-0.93,0.19,1.58,-0.93,0.19,0.0,0.0,95.2,70.2,41.4,49.7,-91.2,-6.4,71.1,-156.0,14.3,44.0,-48.0,-19.8,57.1,-84.9,-3.5,0.2,-2.7,2.9,-2.4,-19.7,-12.1,-21.1,14.8,14.1,-9.2,-8.8,2,3
232,4.64,-0.01,45.9,1.42,2.06,-0.02,-21.88,131.46,0.0,158.92,233.0,8.7,12.44,0.86,-0.4,0.04,0.04,-1.03,2.3,0.56,1.39,-2.09,0.61,1.39,-2.09,0.61,0.0,0.0,99.3,61.2,38.1,31.4,-98.0,2.1,67.9,-156.0,20.1,33.1,-48.0,-10.5,52.5,-84.1,-1.6,1.8,2.1,2.4,-7.5,-19.7,-17.8,-20.4,15.2,6.5,-9.6,-12.9,2,3
234,4.68,-0.01,46.3,1.42,2.07,-0.02,-21.99,132.61,0.0,160.38,235.0,8.71,12.44,0.87,-0.23,0.04,0.1,-0.06,1.06,-0.59,0.42,-0.98,-0.59,0.42,-0.98,-0.59,0.0,68.1,89.8,57.3,33.9,27.8,-96.8,0.6,66.6,-156.0,17.8,26.4,-48.0,-8.4,50.9,-88.5,-0.8,-4.8,-0.5,14.7,-13.0,-19.6,-19.7,-21.2,20.7,2.5,-9.4,-9.0,2,3
236,4.72,-0.01,46.7,1.42,2.09,-0.02,-22.09,133.75,0.0,161.84,237.0,8.72,12.44,0.87,-0.23,0.05,0.11,0.8,0.7,-0.94,-0.35,-0.75,-1.15,-0.35,-0.75,-1.15,0.0,57.8,74.5,0.0,32.9,27.1,-94.5,-4.7,61.7,-156.0,14.9,24.2,-48.0,-10.3,48.9,-99.5,-5.1,2.4,1.3,16.2,-12.8,-10.2,-10.8,-14.0,22.8,-4.6,-3.2,0.6,2,3
238,4.76,-0.01,47.09,1.42,2.1,-0.02,-22.24,134.9,0.0,163.24,239.0,8.72,12.44,0.88,-0.15,0.02,0.04,-0.76,-0.87,-0.91,0.87,1.03,-0.61,0.87,1.03,-0.61,109.7,100.9,0.0,0.0,34.5,28.5,-90.7,1.4,63.9,-156.0,15.7,27.2,-48.0,-20.5,36.2,-90.1,-13.3,8.4,0.7,9.8,7.9,-19.8,-1.4,-0.2,22.8,6.3,-0.5,4.8,2,3
240,4.8,-0.01,47.49,1.42,2.12,-0.02,-22.42,136.04,0.0,164.62,241.0,8.73,12.44,0.88,-0.02,0.03,-0.16,1.19,-1.77,-1.05,-1.08,1.72,-1.23,-1.08,1.72,-1.23,66.6,0.0,52.9,90.1,35.3,37.0,-86.0,3.7,80.1,-156.0,15.4,33.9,-48.0,-22.5,33.9,-80.9,-15.6,11.7,7.2,-5.2,-5.1,-19.7,-3.4,-4.8,21.3,17.1,-2.1,-2.2,2,3
242,4.84,-0.01,47.88,1.42,2.13,-0.02,-22.55,137.21,0.0,166.06,243.0,8.73,12.44,0.87,-0.09,0.03,-0.38,-1.01,-0.4,-0.57,1.07,0.49,-0.36,1.07,0.49,-0.36,0.0,0.0,66.0,123.1,36.5,40.7,-81.6,-11.5,72.5,-156.0,16.2,39.5,-48.0,-22.8,43.8,-90.2,2.1,-8.6,-5.0,4.1,-2.7,-19.7,-12.8,-18.1,14.1,14.2,-11.2,-4.4,2,3
244,4.88,-0.01,48.28,1.42,2.14,-0.02,-22.74,138.36,0.0,167.43,245.0,8.74,12.44,0.86,-0.12,0.06,0.03,2.39,0.86,-0.23,-2.23,-0.94,-0.78,-2.23,-0.94,-0.78,0.0,0.0,72.5,161.6,38.7,30.2,-90.8,-5.1,63.0,-156.0,17.5,34.6,-48.0,-20.7,44.5,-99.2,-0.3,5.5,-1.9,5.7,0.4,-19.7,-9.4,-21.1,17.3,17.1,-5.3,-2.1,2,3
246,4.92,-0.01,48.67,1.42,2.16,-0.02,-22.84,139.51,0.0,168.89,247.0,8.74,12.43,0.86,-0.07,0.03,0.08,0.97,1.11,-0.68,-0.71,-1.11,-0.95,-0.71,-1.11,-0.95,0.0,1.6,91.1,67.8,36.3,28.4,-99.3,1.8,65.6,-156.0,19.5,28.6,-48.0,-15.6,45.9,-100.9,-3.9,2.8,-0.0,7.2,-1.2,-19.7,-17.7,-21.5,15.1,10.8,-5.9,-9.4,2,3
248,4.96,-0.01,49.07,1.42,2.17,-0.02,-22.91,140.66,0.0,170.37,249.0,8.74,12.43,0.87,-0.02,0.03,0.04,0.9,0.53,-0.82,-0.61,-0.54,-1.05,-0.61,-0.54,-1.05,0.0,63.4,84.4,23.0,34.1,27.8,-100.3,-0.2,65.3,-156.0,17.0,26.5,-48.0,-13.8,48.2,-106.7,-3.4,2.5,1.8,13.2,-13.1,-11.9,-18.4,-19.0,21.9,2.6,-1.7,-0.3,2,3
250,5.0,-0.01,49.46,1.42,2.18,-0.02,-22.99,141.8,0.0,171.83,251.0,8.74,12.43,0.87,-0.03,0.03,0.13,0.19,0.17,-1.36,0.25,-0.24,-1.34,0.25,-0.24,-1.34,90.9,10.7,28.4,65.1,32.1,29.8,-93.4,-5.8,62.0,-155.0,13.4,27.7,-48.0,-15.7,46.5,-104.4,-8.1,3.4,2.5,10.4,-18.4,2.9,-0.8,-0.4,22.8,-0.0,-4.4,5.5,2,3
252,5.04,-0.01,49.86,1.42,2.2,-0.02,-23.09,142.94,0.0,173.29,253.0,8.74,12.43,0.88,-0.0,0.01,0.15,-1.19,-0.1,-1.3,1.56,-0.05,-0.83,1.56,-0.05,-0.83,96.0,0.0,0.0,70.9,36.0,33.3,-90.7,-4.8,58.5,-156.0,12.8,31.3,-48.0,-18.1,36.5,-87.2,-14.8,1.9,1.9,7.6,-4.8,-19.8,1.2,-1.8,22.8,7.4,-1.5,6.7,2,3
254,5.08,-0.01,50.25,1.42,2.21,-0.02,-23.16,144.07,0.0,174.76,255.0,8.74,12.43,0.88,0.06,-0.01,-0.07,1.13,-0.1,-0.77,-0.79,0.26,-1.09,-0.79,0.26,-1.09,90.9,0.0,58.6,101.9,37.1,35.1,-88.6,-2.8,58.7,-156.0,12.1,32.5,-48.0,-18.4,34.9,-83.3,-12.5,5.5,0.3,-3.3,-0.7,-19.7,-3.1,-8.8,20.4,15.3,-5.7,-4.9,2,3
256,5.12,-0.01,50.64,1.43,2.23,-0.02,-23.22,145.21,0.0,176.26,257.0,8.74,12.43,0.87,0.09,-0.02,-0.29,0.18,1.18,-0.18,-0.32,-1.14,-0.23,-0.32,-1.14,-0.23,27.9,0.0,103.6,114.6,35.6,33.8,-93.8,-5.8,60.7,-156.0,13.0,28.9,-48.0,-18.0,39.3,-89.7,-5.0,0.3,1.8,4.1,-1.6,-19.7,-9.3,-19.0,11.8,12.8,-12.1,-6.9,2,3
258,5.16,-0.01,51.03,1.43,2.24,-0.02,-23.3,146.35,0.0,177.72,259.0,8.74,12.43,0.87,0.05,-0.03,0.12,0.47,-0.47,-0.61,-0.12,0.49,-0.75,-0.12,0.49,-0.75,4.0,56.7,98.2,55.8,34.8,30.9,-91.5,-3.6,63.2,-156.0,14.3,26.1,-48.0,-15.8,43.7,-95.7,0.9,1.6,2.0,5.0,-1.4,-19.7,-16.6,-19.6,3.9,8.4,-6.0,-8.1,2,3
260,5.2,-0.01,51.43,1.44,2.26,-0.02,-23.34,147.48,0.0,179.23,261.0,8.73,12.44,0.87,0.1,-0.03,-0.02,0.79,0.09,-0.44,-0.58,0.02,-0.69,-0.58,0.02,-0.69,38.8,80.4,92.8,34.7,34.0,28.8,-88.3,-4.7,63.3,-156.0,15.5,23.4,-48.0,-13.1,47.9,-103.0,-4.3,2.2,-1.1,10.0,-4.4,-19.7,-17.3,-19.9,15.8,7.5,-1.5,-3.6,2,3
262,5.24,-0.01,51.82,1.45,2.27,-0.02,-23.4,148.61,0.0,180.71,263.0,8.73,12.44,0.87,0.11,-0.01,0.06,1.47,-0.38,-0.9,-0.93,0.53,-1.4,-0.93,0.53,-1.4,52.6,140.9,25.0,0.0,31.0,29.1,-90.2,-8.3,62.8,-155.5,14.3,23.5,-48.0,-11.4,52.9,-107.8,-5.7,3.8,-1.2,10.4,-20.2,19.5,-10.4,4.6,22.8,-2.6,1.9,2.5,2,3
264,5.28,-0.01,52.21,1.46,2.28,-0.02,-23.62,149.74,0.0,182.05,265.0,8.72,12.44,0.87,0.13,0.02,0.2,-4.0,-2.57,-2.02,5.0,1.06,-0.75,5.0,1.06,-0.75,73.8,0.0,0.0,0.0,29.2,33.7,-97.4,-25.4,43.5,-130.3,10.1,41.6,-48.0,-12.1,55.3,-92.3,-16.2,1.3,2.9,14.9,-14.2,-15.2,3.6,-10.1,22.8,0.3,-8.9,2.5,1,3
266,5.32,-0.01,52.61,1.47,2.3,-0.02,-24.02,150.88,0.0,183.2,267.0,8.71,12.44,0.88,0.2,-0.05,0.17,-5.02,-3.15,-1.44,5.96,1.27,0.21,5.96,1.27,0.21,0.0,0.0,0.0,88.4,36.8,31.3,-96.3,-18.5,27.0,-156.0,15.2,43.4,-48.0,-5.0,45.4,-75.1,-12.1,2.9,7.7,12.7,13.9,-14.0,-1.8,-10.4,22.2,8.3,-3.7,-6.2,2,3
268,5.36,-0.01,53.01,1.49,2.32,-0.02,-24.21,152.01,0.0,184.58,269.0,8.71,12.45,0.88,0.18,0.02,0.01,1.26,-0.21,-0.41,-0.99,0.75,-0.49,-0.99,0.75,-0.49,0.0,0.0,53.6,119.3,43.1,27.6,-76.4,-9.3,48.7,-156.0,21.4,41.6,-48.0,0.7,53.6,-85.7,-14.9,7.8,1.4,3.4,-1.2,-19.7,-7.4,-17.4,19.8,13.6,-13.3,-7.3,2,3
270,5.4,-0.01,53.41,1.5,2.33,-0.02,-24.4,153.15,0.0,185.95,271.0,8.7,12.44,0.88,0.1,0.17,-0.13,2.8,2.79,0.02,-3.54,-1.46,-0.98,-3.54,-1.46,-0.98,0.0,0.0,56.3,30.4,41.3,13.0,-74.8,-4.5,59.2,-156.0,20.3,32.7,-48.0,0.6,54.2,-100.1,-0.3,8.2,-7.3,2.8,-0.9,-19.7,-9.8,-18.0,11.3,7.3,-6.2,0.3,2,3
272,5.44,-0.01,53.8,1.51,2.35,-0.02,-24.59,154.29,0.0,187.33,273.0,8.69,12.44,0.88,0.15,0.12,0.3,1.95,0.2,-1.13,-1.49,0.53,-1.62,-1.49,0.53,-1.62,0.0,60.9,74.8,97.6,36.6,13.5,-90.1,-2.0,61.9,-156.0,13.7,24.7,-48.0,-2.9,51.5,-103.7,-2.4,2.4,1.1,9.8,-8.1,-19.7,-12.6,-19.9,9.4,8.5,-8.4,0.7,2,3
274,5.48,-0.01,54.2,1.52,2.36,-0.02,-24.66,155.44,0.0,188.83,275.0,8.68,12.44,0.88,0.15,0.15,0.16,0.82,0.71,-1.16,-0.71,-0.39,-1.37,-0.71,-0.39,-1.37,0.0,57.1,87.6,0.0,33.3,19.1,-95.4,-2.8,59.9,-156.0,11.0,24.0,-48.0,-2.5,50.2,-102.8,-6.8,5.3,-3.2,13.1,-5.8,-19.6,-16.6,-19.7,17.6,4.3,3.7,-1.2,2,3
276,5.52,-0.01,54.6,1.53,2.38,-0.02,-24.74,156.58,0.0,190.33,277.0,8.67,12.44,0.89,0.15,0.18,0.12,1.93,0.23,-1.39,-1.33,0.49,-1.92,-1.33,0.49,-1.92,0.0,49.8,60.2,0.0,27.4,24.0,-103.5,-7.5,58.7,-156.0,4.6,24.9,-48.0,0.2,53.4,-103.0,-9.4,5.8,-0.0,17.7,-12.3,-8.7,-6.8,-9.1,22.5,-9.1,1.2,2.1,2,3
278,5.56,-0.01,55.0,1.55,2.4,-0.02,-24.89,157.73,0.0,191.75,279.0,8.66,12.44,0.89,0.16,0.18,0.11,-1.33,-1.1,-1.48,2.02,-0.08,-1.03,2.02,-0.08,-1.03,133.9,45.1,0.0,0.0,26.8,28.2,-100.2,-3.9,60.3,-156.0,2.9,31.6,-48.0,-12.8,46.6,-86.2,-16.4,3.2,2.7,15.6,-9.9,-18.0,-0.3,-2.4,22.8,0.7,-1.7,8.0,2,3
280,5.6,-0.01,55.4,1.56,2.42,-0.02,-25.15,158.88,0.0,193.08,281.0,8.65,12.44,0.89,0.21,0.15,0.03,0.63,-2.06,-1.24,1.02,1.9,-1.25,1.02,1.9,-1.25,89.5,0.0,81.8,0.0,30.5,28.0,-87.7,10.0,64.8,-156.0,4.3,36.9,-48.0,-14.6,38.3,-73.0,-11.1,8.4,10.5,-7.0,-2.8,-19.7,0.8,-9.3,21.2,13.8,-3.3,-10.4,2,3
282,5.64,-0.01,55.8,1.57,2.44,-0.02,-25.29,160.04,0.0,194.52,283.0,8.65,12.44,0.89,0.11,0.14,-0.25,-1.31,0.67,-0.69,0.69,-1.4,-0.47,0.69,-1.4,-0.47,20.1,0.0,46.0,48.2,35.3,21.7,-69.0,0.9,64.0,-156.0,9.3,38.8,-48.0,-9.7,47.9,-90.4,-5.3,5.5,-4.7,5.0,-1.8,-19.7,-7.5,-18.3,16.5,12.5,-10.3,-6.5,2,3
284,5.68,-0.01,56.19,1.58,2.45,-0.02,-25.51,161.19,0.0,195.87,285.0,8.64,12.43,0.87,0.15,0.2,-0.08,3.85,0.74,-0.33,-3.2,1.84,-1.37,-3.2,1.84,-1.37,0.0,0.0,113.5,73.3,41.1,15.4,-77.9,0.0,60.0,-156.0,13.5,30.6,-48.0,-3.6,49.5,-103.5,-0.8,7.0,-1.2,7.2,-2.9,-19.7,-4.6,-20.1,13.0,9.8,-6.3,-1.6,2,3
286,5.72,-0.01,56.59,1.59,2.47,-0.02,-25.63,162.34,0.0,197.32,287.0,8.63,12.43,0.87,0.1,0.18,0.09,0.45,0.46,-1.03,-0.42,-0.25,-1.11,-0.42,-0.25,-1.11,0.0,54.3,35.1,59.0,37.0,19.9,-92.9,0.7,62.8,-156.0,12.1,27.7,-48.0,-2.9,52.0,-106.2,-3.8,2.6,-0.4,6.8,-4.0,-19.7,-14.9,-20.6,11.7,5.2,-7.2,-2.5,2,3
288,5.76,-0.01,56.98,1.6,2.48,-0.02,-25.69,163.48,0.0,198.82,289.0,8.62,12.43,0.88,0.1,0.18,0.07,1.79,0.34,-1.21,-1.22,0.66,-1.7,-1.22,0.66,-1.7,0.0,37.9,31.1,0.0,33.4,22.6,-99.2,-3.5,61.5,-156.0,7.8,27.5,-48.0,-5.0,51.3,-106.5,-4.5,4.1,3.1,12.4,-12.1,-8.0,-16.0,-16.4,18.9,0.8,1.9,-1.2,2,3
290,5.8,-0.01,57.38,1.61,2.5,-0.02,-25.81,164.61,0.0,200.25,291.0,8.62,12.43,0.88,0.08,0.19,0.16,-0.47,-0.49,-1.62,0.91,-0.49,-1.42,0.91,-0.49,-1.42,120.3,35.9,0.0,0.0,29.0,28.2,-96.5,-12.8,56.7,-151.5,1.5,31.8,-48.0,-7.4,53.7,-101.7,-11.8,2.2,2.4,13.5,-17.6,6.7,2.6,-0.7,22.8,-3.0,-6.7,4.2,2,3
292,5.84,-0.01,57.78,1.61,2.51,-0.02,-26.07,165.76,0.0,201.55,293.0,8.61,12.43,0.89,0.1,0.18,0.18,-3.04,-1.01,-1.29,2.81,-1.97,-0.37,2.81,-1.97,-0.37,49.5,0.0,60.0,0.0,32.7,30.5,-93.0,-12.1,51.2,-156.0,4.7,33.5,-48.0,-9.2,45.4,-85.6,-11.7,2.5,3.8,13.6,2.5,-18.1,0.6,-4.5,22.7,3.4,-5.0,7.1,2,3
294,5.88,-0.01,58.17,1.63,2.53,-0.02,-26.24,166.9,0.0,202.96,295.0,8.6,12.43,0.89,0.15,0.19,-0.07,0.66,-0.26,-0.79,-0.01,0.55,-0.9,-0.01,0.55,-0.9,38.5,0.0,80.1,36.5,36.0,29.4,-85.1,-1.4,58.3,-156.0,10.0,36.1,-48.0,-5.5,47.6,-83.5,-9.8,6.5,7.0,-3.0,2.1,-19.7,-2.1,-14.3,20.1,12.6,-9.2,-8.6,2,3
296,5.92,-0.01,58.57,1.64,2.55,-0.02,-26.33,168.05,0.0,204.44,297.0,8.59,12.42,0.88,0.12,0.2,-0.32,1.37,1.89,-0.43,-2.22,-0.08,-0.83,-2.22,-0.08,-0.83,0.0,0.0,95.4,95.7,36.7,22.0,-81.6,-2.3,61.4,-156.0,11.5,31.1,-48.0,-3.2,51.4,-95.2,-4.1,4.0,-2.1,3.8,-2.4,-19.7,-6.7,-18.9,14.1,8.1,-11.9,-5.9,2,3
298,5.96,-0.01,58.97,1.64,2.56,-0.02,-26.43,169.19,0.0,205.9,299.0,8.58,12.42,0.87,0.07,0.19,0.22,1.37,-0.47,-1.09,-0.15,1.04,-1.48,-0.15,1.04,-1.48,0.0,52.3,83.5,85.1,34.2,21.4,-85.6,-1.9,63.9,-156.0,9.9,27.2,-48.0,-3.5,52.7,-98.8,-0.8,3.5,0.4,6.4,-4.5,-19.7,-12.5,-20.0,8.8,6.6,-9.2,-3.4,2,3
300,6.0,-0.01,59.36,1.65,2.58,-0.02,-26.5,170.33,0.0,207.39,301.0,8.57,12.42,0.88,0.08,0.19,0.05,0.2,0.57,-0.93,-0.47,-0.4,-0.92,-0.47,-0.4,-0.92,0.0,74.7,84.3,23.1,32.3,23.9,-88.6,-4.6,61.4,-156.0,8.8,26.0,-48.0,-3.9,52.0,-100.0,-5.6,3.3,-3.3,12.0,-3.4,-19.7,-14.4,-20.7,15.7,5.6,-0.0,-3.9,2,3
302,6.04,-0.01,59.76,1.66,2.59,-0.02,-26.55,171.47,0.0,208.89,303.0,8.56,12.42,0.88,0.08,0.19,0.04,0.87,0.34,-1.24,-0.54,0.16,-1.44,-0.54,0.16,-1.44,0.0,63.3,63.5,0.0,30.8,24.1,-95.6,-8.0,59.7,-156.0,7.3,24.9,-48.0,-3.0,52.3,-103.7,-6.7,3.6,2.9,14.0,-15.2,-3.2,-11.6,-10.5,22.1,-2.8,-1.2,-1.5,2,3
304,6.08,-0.01,60.16,1.66,2.61,-0.02,-26.64,172.6,0.0,210.35,305.0,8.56,12.42,0.88,0.07,0.19,0.11,-0.73,-0.54,-1.55,0.92,-0.93,-1.22,0.92,-0.93,-1.22,131.3,0.0,0.0,25.3,30.2,27.2,-93.6,-11.4,56.6,-156.0,5.0,29.1,-48.0,-10.0,47.3,-97.9,-13.9,4.6,1.4,14.5,-14.3,-12.3,0.8,-3.0,22.8,0.6,-4.7,5.3,2,3
306,6.12,-0.01,60.55,1.67,2.63,-0.02,-26.77,173.74,0.0,211.79,307.0,8.55,12.43,0.89,0.12,0.17,0.06,-0.95,-0.76,-1.01,1.17,-0.86,-0.64,1.17,-0.86,-0.64,88.0,0.0,10.7,96.9,33.2,29.4,-90.9,-5.2,57.8,-156.0,7.1,31.0,-48.0,-11.4,42.0,-84.6,-12.8,5.6,5.8,6.4,-0.5,-19.7,0.3,-6.2,21.6,7.5,-4.2,-1.2,2,3
308,6.16,-0.01,60.95,1.68,2.64,-0.02,-26.89,174.88,0.0,213.23,309.0,8.54,12.43,0.88,0.08,0.15,-0.13,0.86,0.3,-0.72,-0.45,0.47,-0.96,-0.45,0.47,-0.96,33.3,0.0,95.1,109.2,36.2,23.9,-76.4,-1.9,61.7,-156.0,9.7,31.1,-48.0,-8.2,46.4,-93.2,-6.9,-0.9,7.1,0.2,-2.0,-19.7,-4.4,-16.8,19.0,13.1,-13.4,-8.5,2,3
310,6.2,-0.01,61.35,1.68,2.66,-0.02,-27.08,176.02,0.0,214.6,311.0,8.53,12.43,0.88,0.09,0.19,0.09,1.87,-0.52,-0.49,0.0,1.67,-1.11,0.0,1.67,-1.11,0.0,41.6,105.9,125.8,36.3,13.3,-70.2,-3.1,61.2,-156.0,12.1,24.3,-48.0,-3.3,50.5,-106.9,2.0,7.1,-4.9,2.8,-4.6,-19.7,-8.8,-20.0,11.0,9.0,-12.6,-3.9,2,3
312,6.24,-0.01,61.74,1.69,2.68,-0.02,-27.17,177.16,0.0,216.06,313.0,8.53,12.43,0.88,0.08,0.2,0.03,1.13,0.41,-1.14,-0.61,0.53,-1.45,-0.61,0.53,-1.45,73.2,72.0,87.7,47.3,35.1,22.3,-82.4,-4.5,60.0,-156.0,12.5,22.8,-48.0,-2.3,51.3,-108.8,-3.8,1.8,-1.2,7.8,-3.1,-19.7,-14.2,-19.9,10.6,2.7,-5.6,-2.2,2,3
314,6.28,-0.01,62.14,1.7,2.69,-0.02,-27.2,178.29,0.0,217.58,315.0,8.52,12.43,0.88,0.08,0.19,0.03,0.96,-0.02,-0.97,-0.16,0.53,-1.25,-0.16,0.53,-1.25,69.3,74.1,88.9,6.8,33.0,26.9,-91.6,-7.7,59.6,-156.0,9.9,22.6,-48.0,-3.8,51.4,-109.3,-6.8,2.8,-5.3,14.8,-6.2,-16.6,-16.4,-19.2,20.8,3.4,1.4,1.3,2,3
316,6.32,-0.01,62.54,1.7,2.71,-0.02,-27.29,179.42,0.0,219.04,317.0,8.51,12.43,0.88,0.09,0.2,0.06,1.19,-0.55,-1.42,0.3,0.66,-1.79,0.3,0.66,-1.79,98.0,69.3,21.2,0.0,29.5,32.0,-97.3,-13.3,58.0,-155.6,6.0,25.0,-48.0,-5.9,54.2,-104.1,-11.3,2.3,-1.2,14.9,-18.6,9.8,-3.3,2.6,22.8,-4.0,-1.1,5.0,2,3
318,6.36,-0.01,62.93,1.71,2.72,-0.02,-27.44,180.55,0.0,220.44,319.0,8.5,12.44,0.88,0.09,0.14,0.08,-2.58,-1.51,-1.39,1.76,-2.72,-0.57,1.76,-2.72,-0.57,40.5,0.0,0.0,0.0,30.4,35.6,-97.2,-17.0,52.8,-156.0,4.7,33.5,-48.0,-10.5,47.3,-81.1,-13.6,1.6,4.0,14.2,-3.1,-19.6,1.8,-6.0,22.8,3.6,-3.8,1.3,2,3
320,6.4,-0.01,63.33,1.72,2.74,-0.02,-27.63,181.7,0.0,221.83,321.0,8.5,12.44,0.88,0.12,0.11,-0.07,0.16,-0.97,-1.02,1.02,-0.03,-0.99,1.02,-0.03,-0.99,43.4,0.0,68.7,88.1,34.7,35.4,-89.8,-3.6,60.1,-156.0,8.8,34.2,-48.0,-5.9,48.1,-79.2,-9.0,5.6,11.7,-4.2,3.0,-19.7,-2.8,-12.1,19.7,12.2,-11.0,-10.9,2,3
322,6.44,-0.01,63.73,1.73,2.76,-0.02,-27.79,182.85,0.0,223.24,323.0,8.49,12.44,0.87,0.07,0.15,-0.32,0.99,1.72,-0.6,-1.74,0.73,-0.85,-1.74,0.73,-0.85,25.7,0.0,96.4,118.3,37.3,24.7,-75.8,-4.9,63.9,-156.0,11.3,30.9,-48.0,-2.3,53.7,-96.9,-2.9,2.6,-5.3,5.8,-3.4,-19.7,-7.0,-18.3,15.7,7.8,-14.2,-4.3,2,3
